AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Ganesh Achar,38,1,A1
2,1,Nasir Rai,35,1,A2
3,1,Basavaraj Desai,37,1,A3
4,1,Nagaraj,38,1,A4
5,3,Prasad Desai,63,1,A1
6,3,Girish,50,1,A2
7,3,Shivu Setty,54,1,A3
8,3,Iqbal Kulkarni,19,1,A4
9,3,Prakash,17,1,A5
10,3,Basavaraj Achar,36,1,A6
11,3,Rashmi,63,2,A7
12,4,Guru,46,1,A1
13,6,Ravi,24,1,A1
14,8,Suresh Kulkarni,18,1,A1
15,8,Karthik,23,1,A2
16,9,Guru Rai,49,1,A1
17,9,Altaf,38,1,A2
18,9,Harish,49,1,A3
19,11,Basavaraj Patil,43,1,A1
20,13,Chandru Rao,30,1,A1
21,15,Shankar,36,1,A1
22,16,Imran,48,1,A1
23,18,Vijay,27,1,A1
24,18,Chandru Poojari,32,1,A2
25,18,Ravi,48,1,A3
26,19,Naveen,29,1,A1
27,19,Rohit Kulkarni,44,1,A2
28,19,Shivu Naidu,22,1,A3
29,20,Prasad Rai,28,1,A1
30,20,Vijay Desai,19,1,A2
31,23,Sandeep Naidu,51,1,A1
32,23,Rohit,60,1,A2
33,23,Vani Desai,30,2,A3
34,23,Altaf Naik,49,1,A4
35,23,Mahesh Hegde,42,1,A5
36,23,Nirmala Setty,51,2,A6
37,24,Sagar Iyer,23,1,A1
38,25,Chandru Prasad,32,1,A1
39,25,Prasad Desai,44,1,A2
40,25,Selvam Sheikh,24,1,A3
41,25,Sarala Reddy,45,2,A4
42,25,Sunil,27,1,A5
43,26,Imran Setty,64,1,A1
44,26,Anand Achar,65,1,A2
45,27,Deepa Naidu,20,2,A1
46,27,Nandini Hegde,51,2,A2
47,27,Karthik,64,1,A3
48,28,Karthik Naik,23,1,A1
49,28,Kiran,62,1,A2
50,32,Rohit Bhat,33,1,A1
51,33,Ganesh,20,1,A1
52,33,Mahesh Naik,19,1,A2
53,33,Chandru,33,1,A3
54,34,Shankar Rai,29,1,A1
55,35,Muthu Gowda,38,1,A1
56,36,Priya Prasad,51,2,A1
57,37,Nasir Naidu,38,1,A1
58,38,Altaf,37,1,A1
59,39,Prakash Sheikh,25,1,A1
60,40,Farooq,40,1,A1
61,40,Iqbal Reddy,39,1,A2
62,40,Naveen Prasad,44,1,A3
63,41,Guru,22,1,A1
64,42,Deepak,30,1,A1
65,43,Srinivas,52,1,A1
66,44,Deepak Naidu,54,1,A1
67,44,Rohit Reddy,34,1,A2
68,46,Manjula,59,2,A1
69,46,Santosh,27,1,A2
70,47,Somu,46,1,A1
71,48,Yogesh Reddy,53,1,A1
72,49,Chandru Achar,47,1,A1
73,49,Ashok Hegde,48,1,A2
74,49,Nirmala Rao,23,2,A3
75,49,Karthik Nayak,44,1,A4
