ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Altaf Kumar,36,15,1,3,1
2,2,Devraj Bhat,20,3,1,4,1
3,3,Ganesh Naidu,34,3,3,3,1
4,4,Mahesh Achari,27,1,1,1,1
5,5,Manoj Pujari,46,3,1,6,1
6,6,Rekha Patil,30,4,1,3,3
7,7,Altaf Yadav,28,3,1,1,1
8,8,Netravathi Sheikh,24,11,2,7,3
9,9,Shivakumar Desai,44,14,1,5,1
10,10,Bhagya Kumar,65,4,1,2,2
11,11,Farida Kumar,32,1,1,5,2
12,12,Prasad Pujari,37,18,1,8,1
13,13,Salim,52,12,1,2,1
14,14,Salim Gowda,24,17,1,4,1
15,15,Harish Reddy,49,7,1,4,1
16,16,Nasir,54,5,6,7,1
17,17,Sandeep Desai,35,17,1,1,1
18,18,Lakshmi Jain,18,9,4,8,2
19,19,Vidya Yadav,30,7,1,2,2
20,20,Farooq Achar,27,1,1,2,1
21,21,Sarala Gowda,33,2,3,4,2
22,22,Ayesha Kulkarni,30,10,1,3,2
23,23,Lokesh Kulkarni,55,13,1,1,1
24,24,Anwar Sheikh,45,14,1,7,1
25,25,Lokesh Kabadi,43,12,1,3,1
26,26,Divya Achar,38,18,1,7,2
27,27,Salim Bhat,30,3,1,1,1
28,28,Shivakumar,26,8,1,7,1
29,29,Pallavi Desai,23,4,1,7,2
30,30,Dinesh,27,10,1,2,1
31,31,Uma Patil,49,6,2,8,2
32,32,Sandeep Desai,50,7,1,1,1
33,33,Ramesh Naidu,24,4,6,7,1
34,34,Padma Yadav,43,2,2,2,2
35,35,Sowmya Pujari,40,11,2,4,2
36,36,Divya,48,6,1,1,2
37,37,Nandini Hegde,25,1,1,7,2
38,38,Girish Kumar,33,6,1,3,1
39,39,Sudha Reddy,30,5,1,7,2
40,40,Jyothi Achari,21,13,2,1,2
41,40,Radha Iyer,45,13,1,7,2
42,41,Shanthi Kabadi,18,15,1,7,2
43,42,Puttaraju Nayak,37,12,1,4,1
44,43,Radha Kulkarni,42,14,1,5,2
45,44,Ravi Pillai,40,18,1,7,1
46,44,Basavaraj Achar,25,7,1,6,1
47,45,Shobha Desai,63,9,1,1,2
48,46,Puttaraju Patil,29,11,1,1,1
49,47,Javed Pujari,26,13,1,1,1
50,48,Shivakumar Hegde,32,10,1,7,1
51,49,Pallavi Yadav,30,13,1,6,2
52,49,Selvam Rai,29,4,1,7,1
53,50,Harish Menon,33,4,1,1,1
54,51,Meena Sheikh,24,3,3,4,2
55,52,Vishal Achari,23,8,1,7,1
56,53,Malati Khan,41,8,2,7,2
57,54,Ramesh Gowda,39,9,1,1,1
58,55,Shivakumar Desai,23,2,1,6,1
59,56,Venkatesh Hegde,30,6,2,5,1
60,57,Leela Achar,42,16,1,3,2
61,58,Rajeshwari Bhat,45,7,1,4,2
62,59,Farida Kabadi,18,7,1,5,2
63,60,Sandeep Desai,33,6,1,3,1
64,61,Gurunath Gowda,32,12,2,2,1
65,62,Mallikarjun,46,1,3,1,1
66,63,Nasir Sheikh,35,2,1,4,1
67,64,Savitri Pujari,56,12,1,2,2
68,65,Leela Patil,33,5,1,1,2
69,66,Naveen Poojari,47,2,6,7,1
70,67,Girish,24,10,1,3,1
71,68,Girish Kabadi,31,3,1,5,1
72,69,Shanthi Kabadi,39,12,1,7,2
73,70,Iqbal Hegde,21,5,1,3,1
74,71,Anthony Sharma,30,9,2,4,1
75,72,Ramesh Shetty,29,7,1,3,1
76,73,Krishna Poojari,34,10,1,4,1
77,74,Padma Menon,28,3,1,2,3
78,75,Kavya Pillai,40,7,1,8,2
79,76,Naveen Poojari,39,1,1,2,1
80,77,Basava Chavan,45,14,1,7,1
81,77,Yusuf Nayak,39,16,1,7,1
82,78,Harish Kumar,41,2,1,2,1
83,79,Gurunath Pujari,40,7,1,3,1
84,79,Nasreen Pujari,29,1,3,1,2
85,80,Anthony Naidu,38,3,1,6,1
86,81,Manoj Menon,53,14,1,2,1
87,82,Sunanda Khan,39,3,1,2,2
88,83,Shivu Kabadi,43,8,1,1,1
89,84,Roopa Shetty,23,15,1,5,2
90,85,Shankar Naik,44,9,1,7,1
91,86,Gurunath Shetty,25,4,7,3,1
92,87,Shanthi Nayak,36,4,1,1,2
93,88,Puttaraju Kabadi,38,2,1,1,1
94,89,Chaitra Bhat,34,6,1,4,2
95,90,Iqbal Reddy,37,4,2,4,1
96,91,Jyothi Poojari,44,8,1,1,2
97,92,Bhagya Chavan,44,11,1,2,2
98,92,Shanthi Bhat,25,2,1,5,2
99,93,Prasad Achari,44,12,1,1,1
100,94,Sunanda Shetty,29,14,1,4,2
101,95,Girija Nayak,61,4,1,7,2
102,96,Yusuf Achari,18,5,6,7,1
103,97,Basavaraj Naik,35,14,1,8,1
104,98,Lokesh Desai,42,7,4,3,1
105,99,Radha Jain,18,9,2,4,2
106,100,Ramesh Khan,31,4,1,1,1
107,101,Meena Menon,37,4,1,3,2
108,101,Ramesh Naik,40,11,1,1,1
109,102,Shankar Khan,30,9,1,6,1
110,103,Manoj Naidu,33,1,3,8,1
111,104,Nandini Poojari,41,7,1,4,2
112,105,Manjula,49,13,1,1,3
113,106,Divya Pillai,18,4,1,5,2
114,107,Renuka Bandi,38,11,1,7,2
115,108,Sudha Hegde,49,2,2,3,2
116,109,Mallikarjun Urs,40,7,2,7,1
117,110,Shanthi Poojari,37,2,4,1,2
118,111,Farida Achari,27,8,1,3,2
119,111,Vishal Yadav,37,5,1,3,1
120,112,Dinesh Bhat,28,4,1,5,1
121,113,Basava Iyer,40,1,7,1,1
122,114,Raju Yadav,40,17,1,4,1
123,115,Ayesha Kabadi,25,17,1,3,2
124,116,Savitri,38,11,1,8,2
