VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Mahesh,44,1,0
2,1,Girish Naidu,26,1,0
3,1,Deepak Rai,36,1,0
4,1,Harish Iyer,53,1,0
5,1,Anand Patil,48,1,0
6,3,Suresh,38,1,0
7,3,Swathi Kulkarni,34,2,0
8,4,Anthony Rai,63,1,0
9,5,Deepa,68,2,0
10,7,Kavitha Achar,45,2,0
11,8,Geetha Rai,65,2,0
12,9,Kamala Naik,33,2,1
13,9,Shankar,32,1,0
14,9,Anitha,51,2,0
15,10,Geetha Kumar,43,2,0
16,12,Ramesh,30,1,0
17,13,Prema Patil,31,2,0
18,14,Kavitha Achar,62,2,0
19,15,Sarala Naik,28,2,0
20,16,Ayesha Desai,40,2,0
21,17,Santosh Patil,31,1,0
22,18,Rekha,24,2,0
23,18,Yogesh Prasad,49,1,0
24,18,Jyothi,41,2,0
25,19,Rafiq Rai,74,1,0
26,19,Suresh,51,1,0
27,21,Imran Reddy,24,1,0
28,22,Basavaraj,66,1,0
29,23,Iqbal Urs,63,1,0
30,23,Thomas Naik,41,1,0
31,24,Geetha,69,2,0
32,25,Deepa Prasad,39,2,0
33,25,Prakash Patil,57,1,0
34,25,Kamala,65,2,0
35,26,Anitha,32,2,0
36,28,Jyothi,33,2,0
37,29,Ganesh Poojari,80,1,0
38,30,Deepak,51,1,0
39,30,Mahesh,27,1,0
40,31,Anitha Prasad,63,2,0
41,33,Chandru Kumar,65,1,0
42,33,Roopa Patil,60,2,0
43,35,Santosh Poojari,33,1,0
44,36,Savitri,75,2,0
45,37,Harish,24,1,0
46,38,Raju Rao,18,1,0
47,39,Mahesh,52,1,0
48,40,Sudha Iyer,58,2,0
49,42,Chaitra Poojari,44,2,0
50,43,Yogesh Urs,57,1,0
51,44,Raju Naidu,22,1,0
52,45,Chandru,26,1,0
53,47,Imran Gowda,21,1,0
54,48,Ravi Bhat,30,1,0
55,49,Anthony,23,1,0
56,49,Deepak Rao,41,1,0
57,49,Santosh Naik,28,1,0
58,49,Naveen,21,1,0
59,49,Nirmala,59,2,0
60,49,Santosh,43,1,0
61,50,Deepak Reddy,32,1,0
62,51,Shobha,10,2,0
63,52,Bhavani,13,2,0
64,53,Arjun Bhat,31,1,0
65,54,Latha,57,2,0
66,55,Ayesha Hegde,47,2,0
67,56,Sunil,45,1,0
68,57,Priya Rai,15,2,0
69,58,Geetha,59,2,0
70,61,Harish Nayak,49,1,0
71,61,Sowmya,69,2,0
